	description	short_description
PF08243	SPT2 chromatin protein	SPT2
PF12090	Spt20 family	Spt20
PF06093	Spt4/RpoE2 zinc finger	Spt4
PF03439	Early transcription elongation factor of RNA pol II, NGN section	Spt5-NGN
PF11942	Spt5 transcription elongation factor, acidic N-terminal	Spt5_N
PF14632	Acidic N-terminal SPT6	SPT6_acidic
PF03539	Spumavirus aspartic protease (A9)	Spuma_A9PTase
PF03534	Salmonella virulence plasmid 65kDa B protein	SpvB
PF05563	Salmonella plasmid virulence protein SpvD	SpvD
PF03779	SPW repeat	SPW
PF03105	SPX domain	SPX
PF11357	Cell cycle regulatory protein	Spy1
PF08999	Surfactant protein C, N terminal propeptide	SP_C-Propep
PF00494	Squalene/phytoene synthase	SQS_PSY
PF00299	Squash family serine protease inhibitor	Squash
PF10500	Nuclear RNA-splicing-associated protein	SR-25
PF07304	Steroid receptor RNA activator (SRA1)	SRA1
PF08832	Steroid receptor coactivator	SRC-1
PF00530	Scavenger receptor cysteine-rich domain	SRCR
PF15494	Scavenger receptor cysteine-rich domain	SRCR_2
PF03125	C. elegans Sre G protein-coupled chemoreceptor	Sre
PF00319	SRF-type transcription factor (DNA-binding and dimerisation domain)	SRF-TF
PF07520	Virulence factor SrfB	SrfB
PF02118	Srg family chemoreceptor	Srg
PF08236	SRI (Set2 Rpb1 interacting) domain	SRI
PF04086	Signal recognition particle, alpha subunit, N-terminal	SRP-alpha_N
PF02290	Signal recognition particle 14kD protein	SRP14
PF01922	SRP19 protein	SRP19
PF00660	Seripauperin and TIP1 family	SRP1_TIP1
PF05022	SRP40, C-terminal domain	SRP40_C
PF00448	SRP54-type protein, GTPase domain	SRP54
PF02881	SRP54-type protein, helical bundle domain	SRP54_N
PF08492	SRP72 RNA-binding domain	SRP72
PF05486	Signal recognition particle 9 kDa protein (SRP9)	SRP9-21
PF09439	Signal recognition particle receptor beta subunit	SRPRB
PF02978	Signal peptide binding domain	SRP_SPB
PF07709	Seven Residue Repeat	SRR
PF07985	SRR1	SRR1
PF15230	Serine/arginine repetitive matrix protein C-terminus	SRRM_C
PF09201	SRX	SRX
PF00436	Single-strand binding protein family	SSB
PF10141	Single-strand DNA-specific exonuclease, C terminal domain	ssDNA-exonuc_C
PF04503	Single-stranded DNA binding protein, SSDP	SSDP
PF07179	SseB protein N-terminal domain	SseB
PF14581	SseB protein C-terminal domain	SseB_C
PF04888	Secretion system effector C (SseC) like family	SseC
PF00474	Sodium:solute symporter family	SSF
PF14723	Sperm-specific antigen 2 C-terminus	SSFA2_C
PF04686	Streptomyces sporulation and cell division protein, SsgA	SsgA
PF00720	Subtilisin inhibitor-like	SSI
PF04056	Ssl1-like	Ssl1
PF06933	Special lobe-specific silk protein SSP160	SSP160
PF04386	Stringent starvation protein B	SspB
PF08141	Small acid-soluble spore protein H family	SspH
PF14098	Small, acid-soluble spore protein I	SSPI
PF08176	Small acid-soluble spore protein K family	SspK
PF08177	Small acid-soluble spore protein N family	SspN
PF08175	Small acid-soluble spore protein O family	SspO
PF08179	Small acid-soluble spore protein P family	SspP
PF03531	Structure-specific recognition protein (SSRP1)	SSrecog
PF04722	Ssu72-like protein	Ssu72
PF11966	Fibronectin-binding repeat	SSURE
PF07935	ORF D-335-like protein	SSV1_ORF_D-335
PF09514	SSXRD motif	SSXRD
PF05030	SSXT protein (N-terminal region)	SSXT
PF04184	ST7 protein	ST7
PF08514	STAG domain	STAG
PF03298	Stanniocalcin family	Stanniocalcin
PF14731	Staphopain proregion	Staphopain_pro
PF09022	Staphostatin A	Staphostatin_A
PF09023	Staphostatin B	Staphostatin_B
PF04022	Staphylocoagulase repeat	Staphylcoagulse
PF02821	Staphylokinase/Streptokinase family	Staphylokinase
PF05480	Staphylococcus haemolytic protein	Staph_haemo
PF01123	Staphylococcal/Streptococcal toxin, OB-fold domain	Stap_Strp_toxin
PF02876	Staphylococcal/Streptococcal toxin, beta-grasp domain	Stap_Strp_tox_C
PF01852	START domain	START
PF01740	STAS domain	STAS
PF13466	STAS domain	STAS_2
PF12162	STAT1 TAZ2 binding domain	STAT1_TAZ2bind
PF12188	Signal transducer and activator of transcription 2 C terminal	STAT2_C
PF14596	STAT6 C-terminal	STAT6_C
PF03875	Statherin	Statherin
PF00836	Stathmin family	Stathmin
PF01017	STAT protein, all-alpha domain	STAT_alpha
PF02864	STAT protein, DNA binding domain	STAT_bind
PF02865	STAT protein, protein interaction domain	STAT_int
PF12638	Staygreen protein	Staygreen
PF10330	Putative Sin3 binding protein	Stb3
PF06406	StbA protein	StbA
PF09075	Heat-stable enterotoxin B, secretory	STb_secrete
PF12898	Stc1 domain	Stc1
PF02200	STE like transcription factor	STE
PF02116	Fungal pheromone mating factor STE2 GPCR	STE2
PF02076	Pheromone A receptor	STE3
PF11610	Scaffold protein Ste5-Fus5 binding region	Ste5
PF09235	Ste50p, sterile alpha motif	Ste50p-SAM
PF12194	Protein kinase Fus3-binding	Ste5_C
PF03015	Male sterility protein	Sterile
PF02544	3-oxo-5-alpha-steroid 4-dehydrogenase	Steroid_dh
PF12349	Sterol-sensing domain of SREBP cleavage-activation	Sterol-sensing
PF08498	Sterol methyltransferase C-terminal	Sterol_MT_C
PF04885	Stigma-specific protein, Stig1	Stig1
PF15253	SCL-interrupting locus protein N-terminus	STIL_N
PF13756	Stimulus-sensing domain	Stimulus_sens_1
PF09061	Stirrup	Stirrup
PF10494	Serine-threonine protein kinase 19	Stk19
PF09598	Stm1	Stm1_N
PF07660	Secretin and TonB N terminus short domain	STN
PF10451	Telomere regulation protein Stn1	Stn1
PF09170	CST, Suppressor of cdc thirteen homolog, complex subunit STN1	STN1_2
PF12659	Telomere capping C-terminal wHTH	Stn1_C
PF12191	Tumour necrosis factor receptor stn_TNFRSF12A_TNFR domain	stn_TNFRSF12A
PF11585	Insect antimicrobial peptide, stomoxyn	Stomoxyn
PF12016	Stonin 2	Stonin2_N
PF05217	STOP protein	STOP
PF10264	Winged helix Storkhead-box1 domain	Stork_head
PF06638	Strabismus protein	Strabismus
PF11083	Lantibiotic streptin immunity protein	Streptin-Immun
PF06100	Streptococcal 67 kDa myosin-cross-reactive antigen like family	Strep_67kDa_ant
PF04270	Streptococcal histidine triad protein	Strep_his_triad
PF14404	Ribosomally synthesized peptide in Streptomyces species	Strep_pep
PF06696	Streptococcal surface antigen repeat	Strep_SA_rep
PF01657	Salt stress response/antifungal	Stress-antifung
PF08232	Striatin family	Striatin
PF10266	Hereditary spastic paraplegia protein strumpellin	Strumpellin
PF03088	Strictosidine synthase	Str_synth
PF02516	Oligosaccharyl transferase STT3 subunit	STT3
PF03481	Putative GTP-binding controlling metal-binding	SUA5
PF01300	Telomere recombination	Sua5_yciO_yrdC
PF11420	Bacteriocin subtilosin A	Subtilosin_A
PF13607	Succinyl-CoA ligase like flavodoxin domain	Succ_CoA_lig
PF02910	Fumarate reductase flavoprotein C-term	Succ_DH_flav_C
PF00862	Sucrose synthase	Sucrose_synth
PF06999	Sucrase/ferredoxin-like	Suc_Fer-like
PF11633	Single-stranded poly(A) binding domain	SUD-M
PF05843	Suppressor of forked protein (Suf)	Suf
PF02657	Fe-S metabolism associated domain	SufE
PF05076	Suppressor of fused protein (SUFU)	SUFU
PF12470	Suppressor of Fused Gli/Ci N terminal binding domain	SUFU_C
PF04198	Putative sugar-binding domain	Sugar-bind
PF11471	Maltoporin periplasmic N-terminal extension	Sugarporin_N
PF00083	Sugar (and other) transporter	Sugar_tr
PF06800	Sugar transport protein	Sugar_transport
PF01253	Translation initiation factor SUI1	SUI1
PF14433	SUKH-3 immunity protein	SUKH-3
PF14435	SUKH-4 immunity protein	SUKH-4
PF14567	SMI1-KNR4 cell-wall	SUKH_5
PF14568	SMI1-KNR4 cell-wall	SUKH_6
PF03846	Cell division inhibitor SulA	SulA
PF08257	Sulfakinin family	Sulfakinin
PF00884	Sulfatase	Sulfatase
PF14707	C-terminal region of aryl-sulfatase	Sulfatase_C
PF00916	Sulfate transporter family	Sulfate_transp
PF13792	Sulfate transporter N-terminal domain with GLY motif	Sulfate_tra_GLY
PF05584	Sulfolobus plasmid regulatory protein	Sulfolobus_pRN
PF00685	Sulfotransferase domain	Sulfotransfer_1
PF03567	Sulfotransferase family	Sulfotransfer_2
PF13469	Sulfotransferase family	Sulfotransfer_3
PF12193	Sulfolobus virus coat protein C terminal	Sulf_coat_C
PF04143	Sulphur transport	Sulf_transp
PF09037	Stf0 sulphotransferase	Sulphotransf
PF03856	Beta-glucosidase (SUN family)	SUN
PF11414	Adenomatous polyposis coli tumour suppressor protein	Suppressor_APC
PF11479	RNA silencing suppressor P21	Suppressor_P21
PF06687	SUR7/PalI family	SUR7
PF09312	SurA N-terminal domain	SurA_N
PF13623	SurA N-terminal domain	SurA_N_2
PF13624	SurA N-terminal domain	SurA_N_3
PF01975	Survival protein SurE	SurE
PF02104	SURF1 family	SURF1
PF05477	Surfeit locus protein 2 (SURF2)	SURF2
PF02077	SURF4 family	SURF4
PF04935	Surfeit locus protein 6	SURF6
PF01617	Surface antigen	Surface_Ag_2
PF11054	Sporozoite TA4 surface antigen	Surface_antigen
PF09006	Lung surfactant protein D coiled-coil trimerisation	Surfac_D-trimer
PF07244	Surface antigen variable number repeat	Surf_Ag_VNR
PF07712	Stress up-regulated Nod 19	SURNod19
PF01805	Surp module	Surp
PF07980	SusD family	SusD
PF12741	Susd and RagB outer membrane lipoprotein	SusD-like
PF12771	Starch-binding associating with outer membrane	SusD-like_2
PF14322	Starch-binding associating with outer membrane	SusD-like_3
PF14292	SusE outer membrane protein	SusE
PF00084	Sushi domain (SCR repeat)	Sushi
PF09014	Beta-2-glycoprotein-1 fifth domain	Sushi_2
PF12513	Mitochondrial degradasome RNA helicase subunit C terminal	SUV3_C
PF12752	SUZ domain	SUZ
PF12901	SUZ-C motif	SUZ-C
PF05326	Seminal vesicle autoantigen (SVA)	SVA
PF08622	Svf1-like	Svf1
PF12113	SVM protein signal sequence	SVM_signal
PF10578	Seminal vesicle protein repeat	SVS_QK
PF15430	Single domain von Willebrand factor type C	SVWC
PF08549	Fungal domain of unknown function (DUF1750)	SWI-SNF_Ssr4
PF07962	Replication Fork Protection Component Swi3	Swi3
PF07061	Swi5	Swi5
PF02201	SWIB/MDM2 domain	SWIB
PF04434	SWIM zinc finger	SWIM
PF04433	SWIRM domain	SWIRM
PF13753	Putative flagellar system-associated repeat	SWM_repeat
PF04099	Sybindin-like family	Sybindin
PF15233	Synaptonemal complex central element protein 1	SYCE1
PF07348	Syd protein (SUKH-2)	Syd
PF08231	SYF2 splicing factor	SYF2
PF02383	SacI homology domain	Syja_N
PF08845	Toxin SymE, type I toxin-antitoxin system	SymE_toxin
PF12295	Symplekin tight junction protein C terminal	Symplekin_C
PF05835	Synaphin protein	Synaphin
PF02078	Synapsin, N-terminal domain	Synapsin
PF02750	Synapsin, ATP binding domain	Synapsin_C
PF10581	Synapsin N-terminal	Synapsin_N
PF00957	Synaptobrevin	Synaptobrevin
PF15191	Synaptonemal complex central element protein 3	Synaptonemal_3
PF15138	Syncollin	Syncollin
PF01034	Syndecan domain	Syndecan
PF06047	Ras-induced vulval development antagonist	SynMuv_product
PF15290	Golgi-localised syntaxin-1-binding clamp	Syntaphilin
PF00804	Syntaxin	Syntaxin
PF10496	SNARE-complex protein Syntaxin-18 N-terminus	Syntaxin-18_N
PF09177	Syntaxin 6, N-terminal	Syntaxin-6_N
PF14523	Syntaxin-like protein	Syntaxin_2
PF11421	ATP synthase F1 beta subunit	Synthase_beta
PF01387	Synuclein	Synuclein
PF11089	Exopolysaccharide production repressor	SyrA
PF09801	Integral membrane protein S linking to the trans Golgi network	SYS1
PF01023	S-100/ICaBP type calcium binding domain	S_100
PF05124	S-layer like family, C-terminal region	S_layer_C
PF05123	S-layer like family, N-terminal region	S_layer_N
PF00954	S-locus glycoprotein family	S_locus_glycop
PF14928	Short tail fibre protein receptor-binding domain	S_tail_recep_bd
PF00907	T-box	T-box
PF00437	Type II/IV secretion system protein	T2SE
PF05157	Type II secretion system (T2SS), protein E, N-terminal domain	T2SE_Nter
PF00482	Type II secretion system (T2SS), protein F	T2SF
PF08334	Type II secretion system (T2SS), protein G	T2SG
PF02501	Type II secretion system (T2SS), protein I	T2SI
PF11612	Type II secretion system (T2SS), protein J	T2SJ
PF03934	Type II secretion system (T2SS), protein K	T2SK
PF05134	Type II secretion system (T2SS), protein L	T2SL
PF04612	Type II secretion system (T2SS), protein M	T2SM
PF10741	Type II secretion system (T2SS), protein M subtype b	T2SM_b
PF01203	Type II secretion system (T2SS), protein N	T2SN
PF13629	Pilus formation protein N terminal region	T2SS-T3SS_pil_N
PF13327	Type III secretion system subunit	T3SS_LEE_assoc
PF09198	Bacteriophage T4 beta-glucosyltransferase	T4-Gluco-transf
PF07996	Type IV secretion system proteins	T4SS
PF02534	Type IV secretory system Conjugative DNA transfer	T4SS-DNA_transf
PF12322	T4 bacteriophage base plate protein	T4_baseplate
PF00837	Iodothyronine deiodinase	T4_deiodinase
PF08994	T4 gene Gp59 loader of gp41 DNA helicase C-term	T4_Gp59_C
PF08993	T4 gene Gp59 loader of gp41 DNA helicase	T4_Gp59_N
PF07880	Bacteriophage T4 gp9/10-like protein	T4_gp9_10
PF11649	Virus neck protein	T4_neck-protein
PF11091	Tail-tube assembly protein	T4_tail_cap
PF10544	T5orf172 domain	T5orf172
PF12790	Type VI secretion lipoprotein	T6SS-SciN
PF13296	Putative type VI secretion system Rhs element Vgr	T6SS_Vgr
PF11494	Ta0938	Ta0938
PF11513	Thermoplasma acidophilum protein TA0956	TA0956
PF15401	Tryptophan-ring motif of head of Trimeric autotransporter adhesin	TAA-Trp-ring
PF05010	Transforming acidic coiled-coil-containing protein (TACC)	TACC
PF02202	Tachykinin family	Tachykinin
PF14517	Tachylectin	Tachylectin
PF11406	Antimicrobial peptide tachystatin A	Tachystatin_A
PF11478	Antimicrobial chitin binding protein tachystatin B	Tachystatin_B
PF09305	TACI, cysteine-rich domain	TACI-CRD2
PF13400	Putative Flp pilus-assembly TadE/G-like	Tad
PF07811	TadE-like protein	TadE
PF09977	Putative Tad-like Flp pilus-assembly	Tad_C
PF05596	Taeniidae antigen	Taeniidae_ag
PF02969	TATA box binding protein associated factor (TAF)	TAF
PF15333	TATA box-binding protein-associated factor 1D	TAF1D
PF14929	TAF RNA Polymerase I subunit A	TAF1_subA
PF05236	Transcription initiation factor TFIID component TAF4 family	TAF4
PF10406	Transcription factor TFIID complex subunit 8 C-term	TAF8_C
PF12020	TAFA family	TAFA
PF07531	NHR1 homology to TAF	TAFH
PF10610	Thin aggregative fimbriae synthesis protein	Tafi-CsgC
PF04719	hTAFII28-like protein conserved region	TAFII28
PF04658	TAFII55 protein conserved region	TAFII55_N
PF12561	ToxR activated gene A lipoprotein	TagA
PF08013	Tagatose 6 phosphate kinase	Tagatose_6_P_K
PF09684	Phage tail protein (Tail_P2_I)	Tail_P2_I
PF10618	Phage tail tube protein	Tail_tube
PF04822	Takusan	Takusan
PF09141	Talin, middle domain	Talin_middle
PF15324	Hedgehog signalling target	TALPID3
PF11640	Telomere-length maintenance and DNA damage repair	TAN
PF15327	Tankyrase binding protein C terminal domain	Tankyrase_bdg_C
PF07519	Tannase and feruloyl esterase	Tannase
PF15386	Drosophila Tantalus-like	Tantalus
PF09162	Tap, RNA-binding	Tap-RNA_bind
PF07265	Tapetum specific protein TAP35/TAP44	TAP35_44
PF04177	TAP42-like family	TAP42
PF09718	Lambda phage tail tape-measure protein (Tape_meas_lam_C)	Tape_meas_lam_C
PF03943	TAP C-terminal domain	TAP_C
PF09281	Taq polymerase, exonuclease	Taq-exonuc
PF12950	TaqI-like C-terminal specificity domain	TaqI_C
PF02203	Tar ligand binding domain homologue	TarH
PF05296	Mammalian taste receptor protein (TAS2R)	TAS2R
PF07708	Tash protein PEST motif	Tash_PEST
PF00539	Transactivating regulatory protein (Tat)	Tat
PF00902	Sec-independent protein translocase protein (TatC)	TatC
PF01026	TatD related DNase	TatD_DNase
PF03430	Trans-activating transcriptional regulator	TATR
PF10518	TAT (twin-arginine translocation) pathway signal sequence	TAT_signal
PF07706	Aminotransferase ubiquitination site	TAT_ubiq
PF09734	RNA polymerase III transcription factor (TF)IIIC subunit	Tau95
PF02668	Taurine catabolism dioxygenase TauD, TfdA family	TauD
PF01925	Sulfite exporter TauE/SafE	TauE
PF01361	Tautomerase enzyme	Tautomerase
PF14552	Tautomerase enzyme	Tautomerase_2
PF14832	Putative oxalocrotonate tautomerase enzyme	Tautomerase_3
PF02959	HTLV Tax	Tax
PF09728	Myosin-like coiled-coil protein	Taxilin
PF14541	Xylanase inhibitor C-terminal	TAXi_C
PF14543	Xylanase inhibitor N-terminal	TAXi_N
PF00683	TB domain	TB
PF03134	TB2/DP1, HVA22 family	TB2_DP1_HVA22
PF02970	Tubulin binding cofactor A	TBCA
PF07986	Tubulin binding cofactor C	TBCC
PF12845	TBD domain	TBD
PF06331	Transcription factor TFIIH complex subunit Tfb5	Tbf5
PF00352	Transcription factor TFIID (or TATA-binding protein, TBP)	TBP
PF09247	TATA box-binding protein binding	TBP-binding
PF07106	Tat binding protein 1(TBP-1)-interacting protein (TBPIP)	TBPIP
PF15517	TBP-interacting protein N-terminus	TBPIP_N
PF03558	TBSV core protein P21/P22	TBSV_P22
PF12598	T-box transcription factor	TBX
PF15063	Thyroid cancer protein 1	TC1
PF12919	TcdA/TcdB catalytic glycosyltransferase domain	TcdA_TcdB
PF12920	TcdA/TcdB pore forming domain	TcdA_TcdB_pore
PF12918	TcdB toxin N-terminal helical domain	TcdB_N
PF12255	Insecticide toxin TcdB middle/C-terminal region	TcdB_toxin_midC
PF12256	Insecticide toxin TcdB middle/N-terminal region	TcdB_toxin_midN
PF12104	T cell CD4 receptor C terminal region	Tcell_CD4_Cterm
PF04910	Transcriptional repressor TCF25	Tcf25
PF01840	TCL1/MTCP1 family	TCL1_MTCP1
PF10452	TORC1 subunit TCO89	TCO89
PF03634	TCP family transcription factor	TCP
PF07202	T-complex protein 10 C-terminus	Tcp10_C
PF05794	T-complex protein 11	Tcp11
PF05946	Toxin-coregulated pilus subunit TcpA	TcpA
PF12648	TcpE family	TcpE
PF06340	Vibrio cholerae toxin co-regulated pilus biosynthesis protein F	TcpF
PF10671	Toxin co-regulated pilus biosynthesis protein Q	TcpQ
PF03638	Tesmin/TSO1-like CXC domain, cysteine-rich domain	TCR
PF14944	Tongue Cancer Chemotherapy Resistant Protein 1	TCRP1
PF11628	T-cell surface glycoprotein CD3 zeta chain	TCR_zetazeta
PF01970	Tripartite tricarboxylate transporter TctA family	TctA
PF07331	Tripartite tricarboxylate transporter TctB family	TctB
PF03401	Tripartite tricarboxylate transporter family receptor	TctC
PF03645	Tctex-1 family	Tctex-1
PF00838	Translationally controlled tumour protein	TCTP
PF03347	Vibrio thermostable direct hemolysin	TDH
PF01285	TEA/ATTS domain family	TEA
PF07404	Telomere-binding protein beta subunit (TEBP beta)	TEBP_beta
PF09300	Tectiviridae, minor capsid	Tecti-min-caps
PF12818	dsDNA viral tegument protein	Tegument_dsDNA
PF03848	Tellurite resistance protein TehB	TehB
PF03148	Tektin family	Tektin
PF05816	Toxic anion resistance protein (TelA)	TelA
PF09470	Telethonin protein	Telethonin
PF12009	Telomerase ribonucleoprotein complex - RNA binding domain	Telomerase_RBD
PF10193	Telomere length regulation protein	Telomere_reg-2
PF13019	Telomere stability and silencing	Telomere_Sde2
PF13297	Telomere stability C-terminal	Telomere_Sde2_2
PF12658	Telomere capping, CST complex subunit	Ten1
PF15490	Telomere-capping, CST complex subunit	Ten1_2
PF03070	TENA/THI-4/PQQC family	TENA_THI-4
PF05733	Tenuivirus/Phlebovirus nucleocapsid protein	Tenui_N
PF04876	Tenuivirus major non-capsid protein	Tenui_NCP
PF05310	Tenuivirus movement protein	Tenui_NS3
PF03300	Tenuivirus non-structural protein NS4	Tenui_NS4
PF06656	Tenuivirus PVC2 protein	Tenui_PVC2
PF06484	Teneurin Intracellular Region	Ten_N
PF05386	TEP1 N-terminal domain	TEP1_N
PF05472	DNA replication terminus site-binding protein (Ter protein)	Ter
PF05099	Tellurite resistance protein TerB	TerB
PF15615	TerB-C domain	TerB-C
PF13208	TerB-N	TerB-N
PF03741	Integral membrane protein TerC family	TerC
PF02342	TerD domain	TerD
PF03354	Phage Terminase	Terminase_1
PF03592	Terminase small subunit	Terminase_2
PF04466	Phage terminase large subunit	Terminase_3
PF05119	Phage terminase, small subunit	Terminase_4
PF06056	Putative ATPase subunit of terminase (gpP-like)	Terminase_5
PF03237	Terminase-like family	Terminase_6
PF05876	Phage terminase large subunit (GpA)	Terminase_GpA
PF01397	Terpene synthase, N-terminal domain	Terpene_synth
PF03936	Terpene synthase family, metal binding domain	Terpene_synth_C
PF15616	TerY-C metal binding domain	TerY-C
PF08034	Trematode eggshell synthesis protein	TES
PF08076	Tetracycline resistance determinant leader peptide	TetM_leader
PF13972	Bacterial transcriptional repressor	TetR
PF11401	Tetrabrachion	Tetrabrachion
PF08187	Myoactive tetradecapeptides family	Tetradecapep
PF00335	Tetraspanin family	Tetraspannin
PF02909	Tetracyclin repressor, C-terminal all-alpha domain	TetR_C
PF08361	MAATS-type transcriptional repressor, C-terminal region	TetR_C_2
PF08362	YcdC-like protein, C-terminal region	TetR_C_3
PF08359	YsiA-like protein, C-terminal region	TetR_C_4
PF08360	QacR-like protein, C-terminal region	TetR_C_5
PF13977	Bacterial transcriptional repressor	TetR_C_6
PF14246	AefR-like transcriptional repressor, C-terminal region	TetR_C_7
PF14278	Transcriptional regulator C-terminal region	TetR_C_8
PF14514	Transcriptional regulator, TetR, C-terminal	TetR_C_9
PF00440	Bacterial regulatory proteins, tetR family	TetR_N
PF12851	Oxygenase domain of the 2OGFeDO superfamily	Tet_JBP
PF08050	Tetracycline resistance leader peptide	Tet_res_leader
PF15219	Testis-expressed 12	TEX12
PF15186	Testis-expressed sequence 13 protein family	TEX13
PF15326	Testis expressed sequence 15	TEX15
PF15553	Testis-expressed protein 19	TEX19
PF15400	Testis-expressed sequence 33 protein family	TEX33
PF09371	Tex-like protein N-terminal domain	Tex_N
PF03849	Transcription factor Tfb2	Tfb2
PF03850	Transcription factor Tfb4	Tfb4
PF12612	Tubulin folding cofactor D C terminal	TFCD_C
PF03153	Transcription factor IIA, alpha/beta subunit	TFIIA
PF02751	Transcription initiation factor IIA, gamma subunit	TFIIA_gamma_C
PF02268	Transcription initiation factor IIA, gamma subunit, helical domain	TFIIA_gamma_N
PF00382	Transcription factor TFIIB repeat	TFIIB
PF02269	Transcription initiation factor IID, 18kD subunit	TFIID-18kDa
PF02291	Transcription initiation factor IID, 31kD subunit	TFIID-31kDa
PF03847	Transcription initiation factor TFIID subunit A	TFIID_20kDa
PF03540	Transcription initiation factor TFIID 23-30kDa subunit	TFIID_30kDa
PF04494	WD40 associated region in TFIID subunit	TFIID_90kDa
PF11521	C-terminal general transcription factor TFIIE alpha	TFIIE-A_C-term
PF02002	TFIIE alpha subunit	TFIIE_alpha
PF02186	TFIIE beta subunit core domain	TFIIE_beta
PF05793	Transcription initiation factor IIF, alpha subunit (TFIIF-alpha)	TFIIF_alpha
PF02270	Transcription initiation factor IIF, beta subunit	TFIIF_beta
PF08567	TFIIH p62 subunit, N-terminal domain	TFIIH_BTF_p62_N
PF12657	Transcription factor IIIC subunit delta N-term	TFIIIC_delta
PF10419	TFIIIC subunit	TFIIIC_sub6
PF01096	Transcription factor S-II (TFIIS)	TFIIS_C
PF07500	Transcription factor S-II (TFIIS), central domain	TFIIS_M
PF04994	TfoX C-terminal domain	TfoX_C
PF04993	TfoX N-terminal domain	TfoX_N
PF04253	Transferrin receptor-like dimerisation domain	TFR_dimer
PF07812	TfuA-like protein	TfuA
PF14601	DNA_binding protein, TFX, C-term	TFX_C
PF03299	Transcription factor AP-2	TF_AP-2
PF03529	Otx1 transcription factor	TF_Otx
PF08271	TFIIB zinc-binding	TF_Zn_Ribbon
PF00688	TGF-beta propeptide	TGFb_propeptide
PF00019	Transforming growth factor beta like domain	TGF_beta
PF08515	Transforming growth factor beta type I GS-motif	TGF_beta_GS
PF11476	Toxoplasma gondii micronemal protein 1 TgMIC1	TgMIC1
PF02824	TGS domain	TGS
PF01702	Queuine tRNA-ribosyltransferase	TGT
PF14809	C1 domain of tRNA-guanine transglycosylase dimerisation	TGT_C1
PF14810	Patch-forming domain C2 of tRNA-guanine transglycosylase	TGT_C2
PF04858	TH1 protein	TH1
PF15514	Restriction endonuclease ThaI	ThaI
PF05485	THAP domain	THAP
PF00314	Thaumatin family	Thaumatin
PF14789	Tetrahydrodipicolinate N-succinyltransferase middle	THDPS_M
PF14790	Tetrahydrodipicolinate N-succinyltransferase N-terminal	THDPS_N
PF14805	Tetrahydrodipicolinate N-succinyltransferase N-terminal	THDPS_N_2
PF14912	Testicular haploid expressed repeat	THEG
PF05317	Thermopsin	Thermopsin
PF00763	Tetrahydrofolate dehydrogenase/cyclohydrolase, catalytic domain	THF_DHG_CYH
PF02882	Tetrahydrofolate dehydrogenase/cyclohydrolase, NAD(P)-binding domain	THF_DHG_CYH_C
PF04446	tRNAHis guanylyltransferase	Thg1
PF14413	Thg1 C terminal domain	Thg1C
PF01946	Thi4 family	Thi4
PF09515	Thiamine transporter protein (Thia_YuaJ)	Thia_YuaJ
PF01964	ThiC family	ThiC
PF13667	ThiC-associated domain	ThiC-associated
PF00899	ThiF family	ThiF
PF05690	Thiazole biosynthesis protein ThiG	ThiG
PF02568	Thiamine biosynthesis protein (ThiI)	ThiI
PF00975	Thioesterase domain	Thioesterase
PF10569	Alpha-macro-globulin thiol-ester bond-forming region	Thiol-ester_cl
PF02803	Thiolase, C-terminal domain	Thiolase_C
PF00108	Thiolase, N-terminal domain	Thiolase_N
PF01289	Thiol-activated cytolysin	Thiol_cytolysin
PF00321	Plant thionin	Thionin
PF00085	Thioredoxin	Thioredoxin
PF13098	Thioredoxin-like domain	Thioredoxin_2
PF13192	Thioredoxin domain	Thioredoxin_3
PF13462	Thioredoxin	Thioredoxin_4
PF13743	Thioredoxin	Thioredoxin_5
PF13848	Thioredoxin-like domain	Thioredoxin_6
PF13899	Thioredoxin-like	Thioredoxin_7
PF13905	Thioredoxin-like	Thioredoxin_8
PF14595	Thioredoxin	Thioredoxin_9
PF03190	Protein of unknown function, DUF255	Thioredox_DsbH
PF02597	ThiS family	ThiS
PF14453	ThiS-like ubiquitin	ThiS-like
PF09512	Thiamine-precursor transporter protein (ThiW)	ThiW
PF11262	Transcription factor/nuclear export subunit protein 2	Tho2
PF11732	Transcription- and export-related complex subunit	Thoc2
PF05615	Tho complex subunit 7	THOC7
PF09432	Tho complex subunit THP2	THP2
PF15440	THRAP3/BCLAF1 family	THRAP3_BCLAF1
PF09396	Thrombin light chain	Thrombin_light
PF00585	C-terminal regulatory domain of Threonine dehydratase	Thr_dehydrat_C
PF14821	Threonine synthase N terminus	Thr_synth_N
PF04163	Tht1-like nuclear fusion protein	Tht1
PF06283	Trehalose utilisation	ThuA
PF02926	THUMP domain	THUMP
PF02511	Thymidylate synthase complementing protein	Thy1
PF11264	Thylakoid formation protein	ThylakoidFormat
PF02223	Thymidylate kinase	Thymidylate_kin
PF00303	Thymidylate synthase	Thymidylat_synt
PF08198	Thymopoietin protein	Thymopoietin
PF01290	Thymosin beta-4 family	Thymosin
PF00086	Thyroglobulin type-1 repeat	Thyroglobulin_1
PF09685	Tic20-like protein	Tic20
PF04278	Tic22-like family	Tic22
PF06200	tify domain	tify
PF01833	IPT/TIG domain	TIG
PF01826	Trypsin Inhibitor like cysteine rich domain	TIL
PF12714	TILa domain	TILa
PF09179	TilS substrate binding domain	TilS
PF11734	TilS substrate C-terminal domain	TilS_C
